STATE,abbr,Density,Pop,LandArea,gdpRank,stateGDP,stateGDPperc,gdpGrowth2018,Airports,Automobiles,Buses,pvi,governorParty,senateParty,houseBalance,positive,positiveScore,negativeScore,negativeRegularScore,commercialScore,grade,score,negative,pending,hospitalized,death,total,totalTestResults,fips,positive_04102020,negative_04102020,deaths_04102020,total_test_results_04102020,num_hospitals_2019,num_active_doct_2019,avg_income_2019,proportion_uninsured_2018
Alaska,AK,1.2863,734002,570641,46,54851,0.003,-0.3,767,173487,8080,9,Republican,Republican,1R,133,1,1,1,1,A,4,4470,,9,3,4603,4603,2,246,7186,7,7432,10,1900,91268.57,0.12
Alabama,AL,96.9221,4908621,50645,27,224654,0.011,2,316,2065463,5682,14,Republican,Both,"6R, 1D",1077,1,1,0,1,B,3,6697,,,26,7774,7774,1,2968,18058,80,21026,90,12205,70090.35,0.1
Arkansas,AR,58.403,3038999,52035,34,129812,0.006,0.9,304,926789,11941,15,Republican,Republican,4R,584,1,1,1,1,A,4,7354,,90,10,7938,7938,5,1171,15949,23,17120,52,7150,68079.14,0.08
Arizona,AZ,64.955,7378494,113594,20,355311,0.017,4,298,2391624,9051,5,Republican,Both,"5D, 4R",1413,1,1,0,1,B,3,19645,,149,29,21058,21058,4,3112,34622,97,37734,72,17806,87823.18,0.11
California,CA,256.3727,39937489,155779,1,3018337,0.145,3.5,882,14860967,99917,-12,Democratic,Democratic,"46D, 7R",8155,1,1,1,0,B,3,21772,57400,1855,171,87327,29927,6,19472,145391,541,164863,342,112906,102375.47,0.07
Colorado,CO,56.4011,5845526,103642,16,376994,0.018,3.5,447,1785058,13305,-1,Democratic,Both,"4D, 3R",2966,1,1,1,1,A,4,13883,,509,69,16849,16849,8,6510,26143,250,32653,55,14509,98129.07,0.08
Connecticut,CT,735.8689,3563077,4842,23,279653,0.013,1,123,1302339,11378,-6,Democratic,Democratic,5D,3557,1,1,1,1,A,4,13043,,766,85,16600,16600,9,10538,25750,448,36288,34,15605,103865.55,0.05
District Of Columbia,DC,11814.541,720687,61,NULL,NULL,NULL,NULL,16,208141,4885,NULL,NULL,NULL,NULL,586,1,1,1,1,A,4,3262,2,,11,3850,3848,11,1660,7695,38,9355,,,,
Delaware,DE,504.3073,982895,1949,42,76537,0.004,0.3,42,419199,3763,-6,Democratic,Democratic,1D,368,1,1,1,1,A,4,4015,,57,11,4383,4383,10,1326,10415,23,11741,8,3148,93957.11,0.06
Florida,FL,410.1256,21992985,53625,4,1059144,0.051,3.5,875,7778493,59596,2,Republican,Republican,"14R, 13D",6955,1,1,1,1,A,4,59529,1235,949,87,67719,66484,12,17531,145299,390,162830,214,56499,78433.46,0.13
Georgia,GA,186.6719,10736059,57513,9,601503,0.029,2.6,454,3536055,36418,5,Republican,Republican,"9R, 5D",4638,1,1,1,1,A,4,15688,,952,139,20326,20326,13,11483,34664,416,46147,111,25312,79797.68,0.14
Hawaii,HI,219.9419,1412687,6423,38,93419,0.004,1,46,512386,3033,-18,Democratic,Democratic,2D,208,1,1,1,1,A,4,8721,18,13,1,8947,8929,15,442,15707,6,16149,14,3660,108561.68,0.04
Iowa,IA,56.9284,3179849,55857,30,192608,0.009,1.4,279,1268996,9284,3,Republican,Republican,"3D, 1R",549,1,1,1,1,A,4,7304,,99,9,7853,7853,19,1388,14565,31,15953,39,8511,86231.8,0.05
Idaho,ID,22.0969,1826156,82643,41,78640,0.004,4.1,301,550006,3870,19,Republican,Republican,2R,525,1,1,1,1,A,4,6076,,46,9,6601,6601,16,1353,11741,24,13094,18,3012,77877.59,0.11
